단어명	CAMS약어	CAMS영문명	겹침유형	상세
유지	MNT	Maintenance	영문명겹침	행안부 [유지보수,정비]
주민	RESID	Resident	영문명겹침	행안부 [거주자]
복제	DUPL	Duplication	영문명겹침	행안부 [복본,중복]
클래스	CLASS	Class	영문명겹침	행안부 [종목,학급]
계열	SERIES	Series	영문명겹침	행안부 [총서]
소장	HOLD	Holding	영문명겹침	행안부 [보유]
정정	CORRCT	Correction	영문명겹침	행안부 [교정,보정,시정]
콜렉션	CLLCTN	Collection	영문명겹침	행안부 [소장품,수집,징수]
체크	CHK	Check	영문명겹침	행안부 [수표,점검]
컨텐츠	CONTNT	Content	영문명겹침	행안부 [내용,함량]
커맨드	CMMND	Command	영문명겹침	행안부 [명령]
현존	EXIST	Existence	영문명겹침	행안부 [존재]
소장인	HOLDER	Holder	영문명겹침	행안부 [보유자]
카운트	COUNT	Count	영문명겹침	행안부 [수]
이유	REASON	Reason	영문명겹침	행안부 [사유]
협정	AGRMT	Agreement	영문명겹침	행안부 [동의,협약서]
역사	HIST	History	영문명겹침	행안부 [이력]
교류	EXCHNG	Exchange	영문명겹침	행안부 [교환]
예고	NOTICE	Notice	영문명겹침	행안부 [공지]
판단	JUDGE	Judgement	영문명겹침	행안부 [판정]
판본	EDITN	Edition	영문명겹침	행안부 [권호]
준칙	GUIDE	Guideline	영문명겹침	행안부 [지침]
비디오	VIDEO	Video	영문명겹침	행안부 [동영상]
상정	SUBMIT	Submission	영문명겹침	행안부 [제출]
증정인	DONOR	Donor	영문명겹침	행안부 [기증자]
액션	ACTION	Action	영문명겹침	행안부 [조치]
마스터	MASTER	Master	영문명겹침	행안부 [석사]
메서드	METHOD	Method	영문명겹침	행안부 [방법,방식]
타당성	VALDTY	Validity	영문명겹침	행안부 [유효]
색채	COLOR	Color	영문명겹침	행안부 [색상]
재생	PLAY	Play	영문명겹침	행안부 [연주]
드라이브	DRIVE	Drive	영문명겹침	행안부 [구동]
워커	WORKER	Worker	영문명겹침	행안부 [근로자]
라이센스	LICENS	License	영문명겹침	행안부 [라이선스,면허]
타겟	TARGET	Target	영문명겹침	행안부 [대상]
편집자	EDITOR	Editor	영문명겹침	행안부 [편집기]
감독관	SUPVSR	Supervisor	영문명겹침	행안부 [감독자,감리원]
세척	CLEAN	Cleaning	영문명겹침	행안부 [청소]
획득	ACQUIRE	Acquisition	영문명겹침	행안부 [양수,취득]
오브젝트	OBJECT	Object	영문명겹침	행안부 [객체]
어셋	ASSET	Asset	영문명겹침	행안부 [자산]
